#,Full Name,FullTeamName,Team,Pos.,Ht.,Year,Hometown,Previous School,ImageURL,clean_name,ADP
22,McKynnlie Dalan,Gonzaga Bulldogs,gonzaga,F,6-0,Jr.,"Montesano, WA",Minnesota,https://d2jpxbzntgxotn.cloudfront.net/images/2025/9/10/mckynnlie_dalan.JPG?width=80&quality=90,mckynnlie dalan,40
23,Jaiden Haile,Gonzaga Bulldogs,gonzaga,F,6-2,Fr.,"Fargo, ND",West Fargo Horace HS,https://d2jpxbzntgxotn.cloudfront.net/images/2025/9/10/jaiden_haile.JPG?width=80&quality=90,jaiden haile,13
24,Teryn Gardner,Gonzaga Bulldogs,gonzaga,G,5-10,So.,"Spokane, WA",Boise State,https://d2jpxbzntgxotn.cloudfront.net/images/2025/9/10/teryn_gardner-7278.JPG?width=80&quality=90,teryn gardner,83
33,Lauren Whittaker,Gonzaga Bulldogs,gonzaga,F,6-3,R-Fr.,"Canterbury, New Zealand",,https://d2jpxbzntgxotn.cloudfront.net/images/2025/9/10/lauren_whittaker-1119.JPG?width=80&quality=90,lauren whittaker,56
55,Zeryhia Aokuso,Gonzaga Bulldogs,gonzaga,G,5-10,Jr.,"Amarillo, TX",Saint Mary's,https://d2jpxbzntgxotn.cloudfront.net/images/2025/9/10/zerhyia_aokuso-7494.JPG?width=80&quality=90,zeryhia aokuso,123
0,Jess Lawson,Loyola Marymount Lions,lmu,G,5-7,Gr.,"Las Vegas, NV",Central Michigan,https://d2vhz6gv4pigvw.cloudfront.net/images/2025/10/2/Jess_Lawson.jpg?width=80&quality=90,jess lawson,47
2,Mari Somvichian,Loyola Marymount Lions,lmu,G,5-4,Jr.,"Oakland, CA",,https://d2vhz6gv4pigvw.cloudfront.net/images/2025/10/2/Mari_Somvichian.jpg?width=80&quality=90,mari somvichian,79
4,Allison Clarke,Loyola Marymount Lions,lmu,G,5-11,So.,"Anaheim, CA",,https://d2vhz6gv4pigvw.cloudfront.net/images/2025/10/2/Allison_Clarke.jpg?width=80&quality=90,allison clarke,3
5,Carly Heidger,Loyola Marymount Lions,lmu,G,6-3,Sr.,"Dacula, GA",Samford,https://d2vhz6gv4pigvw.cloudfront.net/images/2025/10/2/Carly_Heidger.jpg?width=80&quality=90,carly heidger,136
7,Ana Milanovic,Loyola Marymount Lions,lmu,F,6-2,So.,"Belgrade, Serbia",Middle Tennessee,https://d2vhz6gv4pigvw.cloudfront.net/images/2025/10/2/Ana_Milanovic.jpg?width=80&quality=90,ana milanovic,113
10,Lova Lagerlid,Loyola Marymount Lions,lmu,G,6-1,So.,"Stockholm, Sweden",Colorado,https://d2vhz6gv4pigvw.cloudfront.net/images/2025/10/2/Lova_Lagerlid.jpg?width=80&quality=90,lova lagerlid,96
13,Ivana Krajina,Loyola Marymount Lions,lmu,G,5-11,Sr.,"Kastel Novi, Croatia",Texas Tech,https://d2vhz6gv4pigvw.cloudfront.net/images/2025/10/2/Ivana_Krajina.jpg?width=80&quality=90,ivana krajina,93
22,Alia Matavao,Loyola Marymount Lions,lmu,F,6-0,Jr.,"Las Vegas, NV",BYU,https://d2vhz6gv4pigvw.cloudfront.net/images/2025/10/2/Ali_a_Matavao.jpg?width=80&quality=90,alia matavao,84
