fullName,jerseyNum,height,position,classYr,teamMarketTo,conferenceShortNameTo,teamMarketFrom,conferenceShortNameFrom,mins,ptsScored,ast,reb,stl,blk,ptsScoredPg,astPg,rebPg,stlPg,blkPg
Claudia Jimenez,5.0,68.0,G,Freshman,Jessup,PacWest,Manhattan,MAAC,123.22,26.0,14.0,13.0,8.0,0.0,1.36842,0.73684,0.68421,0.42105,0.0
Avery Childers,34.0,70.0,F,Freshman,West Va. Wesleyan,MEC,Massachusetts,A10,5.46,2.0,0.0,1.0,1.0,0.0,0.66667,0.0,0.33333,0.33333,0.0
Kasey Bretones,13.0,71.0,G,Freshman,Marist,MAAC,Massachusetts,A10,95.26,24.0,7.0,9.0,1.0,0.0,1.71429,0.5,0.64286,0.07143,0.0
Júlia Puente-Valverde,,,,,UC Santa Barbara,Big West,McNeese,Southland,,,,,,,,,,,
Wilnie Joseph,,,,,Oklahoma St.,Big 12,McNeese,Southland,,,,,,,,,,,
Azjah Reeves,1.0,68.0,G,Sophomore,Wichita St.,American,McNeese,Southland,544.89,115.0,34.0,55.0,19.0,3.0,4.6,1.36,2.2,0.76,0.12
Izela Arenas,,,,,Kansas St.,Big 12,Louisville,ACC,,,,,,,,,,,
Emma Theodorsson,9.0,73.0,F,Junior,George Washington,A10,Loyola Chicago,A10,704.0,269.0,24.0,130.0,18.0,9.0,9.27586,0.82759,4.48276,0.62069,0.31034
Ty Williams,7.0,67.0,G,Junior,VCU,A10,McNeese,Southland,813.09,181.0,73.0,106.0,20.0,2.0,6.7037,2.7037,3.92593,0.74074,0.07407
Quinzia Fulmore,,,,,Elon,CAA,Memphis,American,,,,,,,,,,,
Destyne Jackson,0.0,67.0,G,Junior,Fla. Atlantic,American,Memphis,American,452.47,128.0,35.0,51.0,27.0,6.0,4.41379,1.2069,1.75862,0.93103,0.2069
Tanyuel Welch,11.0,70.0,G,Sophomore,Arizona,Big 12,Memphis,American,873.17,320.0,93.0,133.0,35.0,3.0,10.66667,3.1,4.43333,1.16667,0.1
Chelsy Bautista,21.0,73.0,F,Junior,Gardner-Webb,Big South,Mercer,SoCon,642.37,108.0,21.0,116.0,25.0,10.0,3.6,0.7,3.86667,0.83333,0.33333
Taylor Barner,,,,,East Carolina,American,Memphis,American,,,,,,,,,,,
Astrid Mukulumpe,16.0,76.0,F,Freshman,FIU,CUSA,Mercer,SoCon,21.95,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
Jania Akins,,,,,Canisius,MAAC,Mercer,SoCon,,,,,,,,,,,
Ioanna Stefanaki,8.0,69.0,G,Freshman,USC Aiken,Peach Belt,Mercer,SoCon,122.36,16.0,7.0,4.0,1.0,0.0,0.84211,0.36842,0.21053,0.05263,0.0
Hannah Riddick,7.0,73.0,F,Senior,Tulsa,American,Memphis,American,92.84,46.0,3.0,32.0,2.0,1.0,11.5,0.75,8.0,0.5,0.25
Aliyah Collins,,,,,Southeastern La.,Southland,Mercer,SoCon,,,,,,,,,,,
Kayla Smith,12.0,71.0,G,Junior,Indiana St.,MVC,Mercer,SoCon,775.43,152.0,21.0,56.0,31.0,5.0,5.06667,0.7,1.86667,1.03333,0.16667
Zenia Palaska,41.0,74.0,F,Sophomore,USC Aiken,Peach Belt,Mercer,SoCon,108.77,16.0,3.0,14.0,3.0,1.0,0.7619,0.14286,0.66667,0.14286,0.04762
Rose Caso,40.0,70.0,G,Junior,Stetson,ASUN,Merrimack,MAAC,792.44,246.0,27.0,103.0,22.0,10.0,7.93548,0.87097,3.32258,0.70968,0.32258
Bailey Kuhns,34.0,71.0,F,Junior,Robert Morris,Horizon,Mercyhurst,NEC,844.44,486.0,26.0,132.0,17.0,4.0,20.25,1.08333,5.5,0.70833,0.16667
Rylie Rosenberg,4.0,63.0,G,Freshman,Babson,NEWMAC,Merrimack,MAAC,42.08,8.0,3.0,6.0,0.0,0.0,0.72727,0.27273,0.54545,0.0,0.0
Thalia Shepard,,,,,Towson,CAA,Merrimack,MAAC,,,,,,,,,,,
Leah Harmon,,,,,UCF,Big 12,Miami (FL),ACC,,,,,,,,,,,
Daniela Abies,,,,,St. John's (NY),Big East,Miami (FL),ACC,,,,,,,,,,,
Aurora Almón,,,,,Syracuse,ACC,Miami (FL),ACC,,,,,,,,,,,
Lemyah Hylton,1.0,71.0,G,Junior,Texas A&M,SEC,Miami (FL),ACC,264.92,64.0,6.0,20.0,10.0,2.0,2.56,0.24,0.8,0.4,0.08
Cori Lard,22.0,69.0,G,Senior,Winthrop,Big South,Miami (OH),MAC,358.1,58.0,35.0,39.0,40.0,4.0,2.32,1.4,1.56,1.6,0.16
Camille Jackson,35.0,71.0,G,Junior,Florida A&M,SWAC,Miami (OH),MAC,134.22,38.0,5.0,19.0,5.0,2.0,1.72727,0.22727,0.86364,0.22727,0.09091
Latazia Williamson,21.0,73.0,F,Sophomore,Kennesaw St.,CUSA,Memphis,American,305.67,48.0,7.0,54.0,4.0,19.0,1.84615,0.26923,2.07692,0.15385,0.73077
Emily Bratton,3.0,67.0,G,Freshman,Marshall,Sun Belt,Miami (OH),MAC,136.33,37.0,8.0,16.0,3.0,1.0,2.17647,0.47059,0.94118,0.17647,0.05882
Lakresha Edwards,4.0,72.0,G,Sophomore,Fordham,A10,Miami (OH),MAC,242.23,82.0,5.0,19.0,5.0,0.0,3.03704,0.18519,0.7037,0.18519,0.0
Hennessey Luu-Brown,,,,,Coastal Carolina,Sun Belt,Miami (OH),MAC,,,,,,,,,,,
Enjulina Gonzalez,11.0,69.0,G,Junior,Georgia,SEC,Miami (OH),MAC,942.49,491.0,69.0,124.0,51.0,13.0,17.53571,2.46429,4.42857,1.82143,0.46429
Yulia Grabovskaia,55.0,77.0,F,Junior,Washington,Big Ten,Michigan,Big Ten,446.38,175.0,18.0,134.0,25.0,16.0,5.30303,0.54545,4.06061,0.75758,0.48485
Sinai Douglas,0.0,64.0,G,Freshman,FGCU,ASUN,Michigan St.,Big Ten,46.54,13.0,9.0,8.0,2.0,0.0,1.3,0.9,0.8,0.2,0.0
Meioshe Mason,,,,,Eastern Ill.,OVC,Middle Tenn.,CUSA,,,,,,,,,,,
Helen Holley,10.0,72.0,F,Freshman,San Diego,WCC,Michigan St.,Big Ten,36.56,4.0,1.0,9.0,1.0,1.0,0.44444,0.11111,1.0,0.11111,0.11111
Ana Milanovic,,,,,LMU (CA),WCC,Middle Tenn.,CUSA,,,,,,,,,,,
Ta'Mia Scott,,,,,Alabama,SEC,Middle Tenn.,CUSA,,,,,,,,,,,
Dora Van Rijs,9.0,72.0,F,Sophomore,Tusculum,SAC,Middle Tenn.,CUSA,10.11,1.0,0.0,1.0,2.0,0.0,0.5,0.0,0.5,1.0,0.0
Kallie Peppler,,,,,Green Bay,Horizon,Milwaukee,Horizon,,,,,,,,,,,
Kamy Peppler,,,,,Green Bay,Horizon,Milwaukee,Horizon,,,,,,,,,,,
Hallie Majoros,0.0,69.0,G,Junior,Kansas City,Summit,Milwaukee,Horizon,67.9,18.0,2.0,5.0,2.0,0.0,1.05882,0.11765,0.29412,0.11765,0.0
Ally Hollifield,5.0,67.0,G,Freshman,Western Caro.,SoCon,Memphis,American,71.46,11.0,7.0,11.0,6.0,1.0,0.84615,0.53846,0.84615,0.46154,0.07692
Raven Sims,23.0,69.0,G,Sophomore,Niagara,MAAC,Memphis,American,356.67,56.0,23.0,51.0,15.0,2.0,2.0,0.82143,1.82143,0.53571,0.07143
McKenna Johnson,7.0,69.0,G,Freshman,Butler,Big East,Minnesota,Big Ten,152.67,70.0,9.0,37.0,2.0,1.0,2.91667,0.375,1.54167,0.08333,0.04167
Denim DeShields,,,,,Ole Miss,SEC,Mississippi St.,SEC,,,,,,,,,,,
Quanirah Montague,24.0,77.0,F,Sophomore,Auburn,SEC,Mississippi St.,SEC,396.32,155.0,15.0,127.0,22.0,20.0,4.55882,0.44118,3.73529,0.64706,0.58824
Madina Okot,,,,,South Carolina,SEC,Mississippi St.,SEC,,,,,,,,,,,
Debreasha Powe,,,,,Ole Miss,SEC,Mississippi St.,SEC,,,,,,,,,,,
Kearra Jones,4.0,73.0,G,Freshman,Southeast Mo. St.,OVC,Mississippi Val.,SWAC,641.76,231.0,28.0,137.0,26.0,14.0,7.45161,0.90323,4.41935,0.83871,0.45161
Anaisha Carriere,8.0,75.0,G,Freshman,Southern Miss.,Sun Belt,Mississippi St.,SEC,15.88,8.0,0.0,2.0,0.0,0.0,0.8,0.0,0.2,0.0,0.0
Jaylia Reed,2.0,66.0,G,Senior,Southern U.,SWAC,Mississippi Val.,SWAC,820.58,274.0,54.0,77.0,45.0,0.0,8.83871,1.74194,2.48387,1.45161,0.0
Sh'Diamond McKnight,1.0,67.0,G,Senior,Nicholls,Southland,Mississippi Val.,SWAC,131.52,81.0,17.0,20.0,24.0,0.0,11.57143,2.42857,2.85714,3.42857,0.0
Shakirah Edwards,,,,,Troy,Sun Belt,Mississippi St.,SEC,,,,,,,,,,,
